category,count,percentage
Data Science,19,26.39
AI Engineering,11,15.28
Consulting,10,13.89
GenAI / LLM,9,12.50
Software Engineering,8,11.11
Fintech,5,6.94
Computer Vision,3,4.17
Technology,3,4.17
GDP,2,2.78
Business Intelligence,2,2.78
