location,count,percentage
Not specified,41,56.94
Saudi Arabia,24,33.33
Dhahran,8,11.11
Riyadh,6,8.33
Hybrid,5,6.94
Remote,3,4.17
Jeddah,3,4.17
On-site,3,4.17
Dammam,2,2.78
Montreal,1,1.39
United States,1,1.39
