skill,count
AI,7
Communication,5
Research,5
Prompt Engineering,4
RAG,4
Machine Learning,4
Software Engineering,3
Generative AI,2
Data Engineering,2
API Development,2
Analytics,2
NLP,2
Financial Modeling,1
Cloud Infrastructure,1
Business Analysis,1
Computer Vision,1
Data Analysis,1
Data Science,1
Deep Learning,1
ETL,1
MLOps,1
