"category","Count"
"Data Science","19"
"AI Engineering","11"
"Consulting","10"
"GenAI / LLM","9"
"Software Engineering","8"
"Fintech","5"
"Computer Vision","3"
"Technology","3"
"GDP","2"
"Business Intelligence","2"
