"experience_required","Count"
"Senior","7"
"Fresh graduate","5"
"Entry level","4"
"Mid level","2"
"0+ years of experience","2"
"5 years of experience","2"
"6 years of experience","1"
"4 years of experience","1"
"3 years of experience","1"
"5+ years of experience","1"
"5-7 years of experience","1"
"2- 4 years of experience","1"
"Internship","1"
"3 years' experience","1"
"4+ years of experience","1"
"2 - 4 years of experience","1"
"2+ years of experience","1"
